occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1144,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Kök-Suu Range: at mouth of Ispara-Say,41.705,70.556,,,HerbariumSpecimen,9/19/2001,2001,9,19,,,G. Lazkov,
1145,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,N side of Daud Mts. facing to Karavshin River,39.77,70.42,,,HerbariumSpecimen,8/19/1937,1937,8,19,,519,K. Afanasiev,
1146,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Jeti-Köpürök down from Muzrad River,39.7,70.036,,,HerbariumSpecimen,8/3/1913,1913,8,3,,1224,Z. von Minkwitz,
1147,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Turkestan Range: Leylek River at its confluence with Jeti-Köpürök,39.741,70.022,,,HerbariumSpecimen,7/16/2005,2005,7,16,,,G. Lazkov,
1148,H,,,1748389,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"Turkestan Range, middle course of Leylek River",39.73547,70.00974,,,HerbariumSpecimen,8/19/2011,2011,8,19,,148,A. Sennikov & G. Lazkov,
1149,FRU,,,,,,,,Asteraceae,Anaphalis,,sarawschanica,,Anaphalis sarawschanica,(C. Winkl.) B. Fedtsch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Kyrk-Bulak,39.582,69.855,,,HerbariumSpecimen,7/18/2007,2007,7,18,,,M. Ganybaeva,
1150,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Ashat,39.61,69.792,,,HerbariumSpecimen,7/21/2007,2007,7,21,,,M. Ganybaeva,
1151,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Abdyvi-Shor,39.64,69.77,,,HerbariumSpecimen,9/12/1940,1940,9,12,,,K. Afanasiev,
1152,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Urusalak,39.7,69.65,,,HerbariumSpecimen,7/30/1956,1956,7,30,,,Aidarova & Faleeva,
1153,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Gush River at its mouth,39.65,69.383,,,HerbariumSpecimen,7/13/1937,1937,7,13,,64,K. Afanasiev,
