freq	dB(S(2,1))
6.02130000000000010E9	-2.51759013556772038E2
6.02134999999999998E9	-2.51748635107404617E2
6.02139999999999986E9	-2.51738251193979412E2
6.02144999999999975E9	-2.51727861815898057E2
6.02149999999999963E9	-2.51717466972558102E2
6.02154999999999951E9	-2.51707066663353141E2
6.02160000000000117E9	-2.51696660887673440E2
6.02164999999999928E9	-2.51686249644904469E2
6.02170000000000005E9	-2.51675832934429256E2
6.02174999999999905E9	-2.51665410755626118E2
6.02180000000000071E9	-2.51654983107869601E2
6.02185000000000059E9	-2.51644549990530564E2
6.02189999999999959E9	-2.51634111402976313E2
6.02194999999999947E9	-2.51623667344569757E2
6.02200000000000024E9	-2.51613217814670653E2
6.02205000000000013E9	-2.51602762812634229E2
6.02210000000000001E9	-2.51592302337813001E2
6.02214999999999900E9	-2.51581836389554514E2
6.02219999999999978E9	-2.51571364967203071E2
6.02225000000000055E9	-2.51560888070099242E2
6.02229999999999954E9	-2.51550405697579249E2
6.02235000000000031E9	-2.51539917848976335E2
6.02240000000000020E9	-2.51529424523619083E2
6.02245000000000008E9	-2.51518925720832920E2
6.02249999999999996E9	-2.51508421439939189E2
6.02254999999999985E9	-2.51497911680255548E2
6.02259999999999973E9	-2.51487396441095523E2
6.02265000000000050E9	-2.51476875721769177E2
6.02269999999999950E9	-2.51466349521582622E2
6.02275000000000027E9	-2.51455817839838280E2
6.02279999999999927E9	-2.51445280675834315E2
6.02285000000000093E9	-2.51434738028866001E2
6.02289999999999992E9	-2.51424189898224082E2
6.02294999999999980E9	-2.51413636283195308E2
6.02299999999999969E9	-2.51403077183063539E2
6.02305000000000046E9	-2.51392512597107842E2
6.02310000000000123E9	-2.51381942524604085E2
6.02314999999999934E9	-2.51371366964823784E2
6.02319999999999922E9	-2.51360785917035656E2
6.02324999999999999E9	-2.51350199380503625E2
6.02330000000000076E9	-2.51339607354488237E2
6.02335000000000065E9	-2.51329009838246131E2
6.02339999999999964E9	-2.51318406831030039E2
6.02345000000000041E9	-2.51307798332089138E2
6.02350000000000030E9	-2.51297184340668611E2
6.02355000000000018E9	-2.51286564856009775E2
6.02360000000000007E9	-2.51275939877350662E2
6.02364999999999995E9	-2.51265309403924952E2
6.02369999999999983E9	-2.51254673434962461E2
6.02374999999999972E9	-2.51244031969689674E2
6.02379999999999960E9	-2.51233385007328902E2
6.02385000000000037E9	-2.51222732547098637E2
6.02389999999999937E9	-2.51212074588213596E2
6.02395000000000014E9	-2.51201411129885299E2
6.02399999999999913E9	-2.51190742171320602E2
6.02404999999999990E9	-2.51180067711723076E2
6.02410000000000068E9	-2.51169387750292028E2
6.02414999999999967E9	-2.51158702286223612E2
6.02419999999999956E9	-2.51148011318709496E2
6.02424999999999944E9	-2.51137314846938153E2
6.02430000000000110E9	-2.51126612870093613E2
6.02435000000000009E9	-2.51115905387356886E2
6.02439999999999909E9	-2.51105192397904542E2
6.02444999999999986E9	-2.51094473900909643E2
6.02450000000000063E9	-2.51083749895541208E2
6.02455000000000052E9	-2.51073020380964929E2
6.02460000000000040E9	-2.51062285356341963E2
6.02464999999999939E9	-2.51051544820830141E2
6.02470000000000017E9	-2.51040798773583784E2
6.02475000000000005E9	-2.51030047213753083E2
6.02480000000000082E9	-2.51019290140484097E2
6.02484999999999982E9	-2.51008527552919425E2
